epoch,StratTrans_miou,StratTrans_oa,Swin3D_miou,Swin3D_oa,hybridTM_miou,hybridTM_oa,minkunet_miou,minkunet_oa,oacnns_miou,oacnns_oa,pt-v3_miou,pt-v3_oa,spunet_miou,spunet_oa
77,0.9807,0.99,0.9807,0.9899,0.9535,0.9782,0.3631,0.5755,0.9753,0.9901,0.97,0.9889,0.9435,0.9777
78,0.9878,0.9942,0.9741,0.9863,0.9588,0.9809,0.3658,0.5732,0.9762,0.9906,0.9689,0.9885,0.9507,0.9807
79,0.9832,0.9919,0.9801,0.9892,0.9581,0.9807,0.362,0.5761,0.9751,0.9902,0.9693,0.9887,0.9555,0.9828
80,0.9793,0.9887,0.9781,0.9881,0.9548,0.9797,0.3672,0.5775,0.9728,0.9893,0.9711,0.9893,0.9587,0.9841
81,0.9772,0.9872,0.9811,0.9912,0.9556,0.9804,0.3389,0.5498,0.9703,0.9882,0.9705,0.9892,0.9635,0.986
82,0.9836,0.9915,0.9787,0.9896,0.9563,0.9809,0.3479,0.5582,0.9709,0.9884,0.9713,0.9893,0.9615,0.9852
83,0.983,0.9907,0.9835,0.9922,0.9585,0.9818,0.3497,0.5633,0.9726,0.9891,0.9714,0.9894,0.9642,0.9863
84,0.9741,0.986,0.9841,0.992,0.9547,0.9798,0.3669,0.5828,0.9733,0.9894,0.9739,0.9904,0.9636,0.9861
85,0.9818,0.9903,0.9809,0.9899,0.9555,0.9803,0.3497,0.564,0.9739,0.9896,0.9764,0.9912,0.9647,0.9866
86,0.9845,0.992,0.9789,0.9894,0.9584,0.9814,0.379,0.587,0.9728,0.9891,0.9788,0.9922,0.9667,0.9873
87,0.9824,0.9908,0.979,0.988,0.9582,0.9814,0.3629,0.5733,0.9703,0.9881,0.9795,0.9924,0.9696,0.9884
88,0.9807,0.9898,0.9787,0.9892,0.9586,0.9816,0.3535,0.5714,0.9711,0.9883,0.9795,0.9923,0.9674,0.9875
89,0.9837,0.9913,0.978,0.9886,0.9606,0.9824,0.3543,0.5714,0.9706,0.9882,0.978,0.9915,0.9649,0.9865
90,0.9801,0.989,0.981,0.9901,0.9598,0.982,0.3658,0.5811,0.9702,0.988,0.9802,0.9926,0.9657,0.9869
91,0.9827,0.9911,0.977,0.9876,0.9638,0.9842,0.3605,0.5831,0.9687,0.9873,0.9822,0.9933,0.9681,0.9878
92,0.9821,0.9906,0.9797,0.9903,0.9619,0.9831,0.3501,0.5778,0.9674,0.9867,0.9823,0.9933,0.9686,0.9879
93,0.9808,0.9898,0.98,0.9893,0.9642,0.9841,0.3392,0.5576,0.966,0.9862,0.983,0.9936,0.968,0.9877
94,0.9822,0.9907,0.9725,0.9862,0.966,0.9851,0.3439,0.5619,0.9673,0.9867,0.982,0.993,0.9684,0.9879
95,0.9797,0.9895,0.9774,0.9875,0.9628,0.9833,0.3669,0.5889,0.9664,0.9863,0.9826,0.9935,0.9688,0.988
96,0.9875,0.9939,0.9791,0.9888,0.9674,0.9859,0.3477,0.5638,0.9657,0.9861,0.9822,0.9933,0.969,0.9881
97,0.9823,0.9905,0.9804,0.9894,0.9625,0.9832,0.3516,0.5642,0.9661,0.9862,0.9826,0.9935,0.9692,0.9882
98,0.9823,0.9906,0.9794,0.989,0.9638,0.984,0.3638,0.5706,0.9656,0.986,0.9837,0.994,0.969,0.9881
99,0.9726,0.9858,0.9797,0.9891,0.9682,0.9863,0.3612,0.571,0.9648,0.9857,0.9828,0.9935,0.9691,0.9881
100,0.9818,0.9905,0.9808,0.9903,0.9683,0.9862,0.3508,0.5614,0.9668,0.9865,0.9829,0.9937,0.9693,0.9882
